,dt,LandAverageTemperature,Year,Month,AverageUncertainty,maxAvgTemp,minAvgTemp
0,1970,8.700916666666666,1970.0,6.5,0.07558333333333332,8.7765,8.625333333333334
1,1971,8.59925,1971.0,6.5,0.09791666666666667,8.697166666666666,8.501333333333333
2,1972,8.499583333333334,1972.0,6.5,0.09533333333333334,8.594916666666666,8.404250000000001
3,1973,8.948249999999998,1973.0,6.5,0.10074999999999999,9.049000000000001,8.847499999999998
4,1974,8.4675,1974.0,6.5,0.1045,8.572000000000001,8.363000000000001
5,1975,8.744833333333334,1975.0,6.5,0.09708333333333334,8.841916666666668,8.64775
6,1976,8.347249999999999,1976.0,6.5,0.10058333333333336,8.447833333333334,8.246666666666666
7,1977,8.850249999999999,1977.0,6.5,0.08466666666666665,8.934916666666664,8.765583333333332
8,1978,8.692749999999998,1978.0,6.5,0.10383333333333335,8.796583333333334,8.588916666666668
9,1979,8.733416666666665,1979.0,6.5,0.08641666666666666,8.819833333333333,8.647
10,1980,8.980333333333332,1980.0,6.5,0.10666666666666669,9.087000000000002,8.873666666666667
11,1981,9.165833333333333,1981.0,6.5,0.08725000000000001,9.253083333333334,9.078583333333333
12,1982,8.639166666666666,1982.0,6.5,0.08266666666666668,8.721833333333333,8.556499999999998
13,1983,9.028166666666666,1983.0,6.5,0.09399999999999999,9.122166666666667,8.934166666666668
14,1984,8.691833333333335,1984.0,6.5,0.10258333333333336,8.794416666666669,8.589249999999998
15,1985,8.658,1985.0,6.5,0.09324999999999999,8.751249999999999,8.56475
16,1986,8.833583333333332,1986.0,6.5,0.085,8.918583333333332,8.748583333333332
17,1987,8.994416666666668,1987.0,6.5,0.08516666666666667,9.079583333333334,8.909250000000002
18,1988,9.201583333333334,1988.0,6.5,0.08008333333333334,9.281666666666668,9.1215
19,1989,8.921999999999999,1989.0,6.5,0.08800000000000001,9.01,8.834
20,1990,9.234166666666667,1990.0,6.5,0.08633333333333333,9.3205,9.147833333333333
21,1991,9.179416666666667,1991.0,6.5,0.06208333333333335,9.2415,9.117333333333335
22,1992,8.836583333333332,1992.0,6.5,0.08333333333333333,8.919916666666667,8.75325
23,1993,8.866583333333333,1993.0,6.5,0.08133333333333333,8.947916666666666,8.78525
24,1994,9.038749999999999,1994.0,6.5,0.07091666666666667,9.109666666666667,8.967833333333333
25,1995,9.347083333333332,1995.0,6.5,0.07641666666666666,9.4235,9.270666666666665
26,1996,9.038916666666667,1996.0,6.5,0.08474999999999999,9.123666666666667,8.954166666666666
27,1997,9.202583333333333,1997.0,6.5,0.08858333333333335,9.291166666666667,9.114
28,1998,9.522666666666666,1998.0,6.5,0.07391666666666667,9.596583333333333,9.448749999999999
29,1999,9.285083333333333,1999.0,6.5,0.07924999999999999,9.364333333333333,9.205833333333333
30,2000,9.201166666666667,2000.0,6.5,0.0835,9.284666666666668,9.117666666666667
31,2001,9.414583333333335,2001.0,6.5,0.08741666666666664,9.501999999999999,9.327166666666665
32,2002,9.570416666666667,2002.0,6.5,0.07241666666666667,9.642833333333334,9.498
33,2003,9.525583333333334,2003.0,6.5,0.09066666666666666,9.616249999999999,9.434916666666666
34,2004,9.324583333333333,2004.0,6.5,0.08341666666666665,9.408,9.241166666666667
35,2005,9.700916666666666,2005.0,6.5,0.07516666666666667,9.776083333333332,9.625750000000002
36,2006,9.532499999999999,2006.0,6.5,0.08999999999999998,9.6225,9.4425
37,2007,9.732166666666664,2007.0,6.5,0.08949999999999998,9.821666666666665,9.642666666666665
38,2008,9.431750000000001,2008.0,6.5,0.07891666666666665,9.510666666666665,9.352833333333333
39,2009,9.505250000000002,2009.0,6.5,0.08591666666666666,9.591166666666666,9.419333333333332
40,2010,9.703083333333332,2010.0,6.5,0.08341666666666668,9.786499999999998,9.619666666666669
41,2011,9.516,2011.0,6.5,0.08199999999999999,9.598,9.434
42,2012,9.507333333333333,2012.0,6.5,0.08341666666666665,9.59075,9.423916666666667
43,2013,9.606499999999999,2013.0,6.5,0.09766666666666667,9.704166666666666,9.508833333333333
44,2014,9.570666666666666,2014.0,6.5,0.09016666666666666,9.660833333333334,9.480500000000001
45,2015,9.830999999999998,2015.0,6.5,0.09216666666666667,9.923166666666665,9.738833333333334
